AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002352,61.4,35.5867,98.5681,63,36.5202,101.1278,51.8,28.2395,87.0312,43.5,22.398,76.108,33.1,15.7284,61.1048,42.4,22.4062,72.7634,78.2,37.0309,144.5688,88.7,43.8184,159.4343,77.2,36.6166,142.6245,60.2,25.6455,119.2064,57,24.2137,112.987,76.3,37.4613,137.5105,47,18.763,97.0746,40.9,14.8632,89.2941,28.5,7.7011,73.1089,28.1,7.6058,72.0555,11.6,1.3706,42.0049,11.6,1.3765,41.9872
MSOA,E02002353,84.9,46.1293,142.0775,54,25.7619,98.5038,57.8,28.7109,102.7501,53.6,26.5348,95.4227,52.5,26.1035,93.2893,44.4,20.5475,82.8526,123.4,58.9412,224.9884,79.2,32.5065,158.9354,87.2,38.4194,167.9394,86.1,39.9766,160.4556,75.4,33.5668,144.6404,59.9,23.6611,124.165,47.8,12.272,123.9997,28.6,4.8292,86.1698,28.2,4.6279,85.2887,20.4,1.4658,76.6781,28.6,4.7926,86.2584,27.8,4.6212,83.9361
MSOA,E02002354,129,91.9862,175.8809,103.4,70.5366,146.2161,93.5,62.4441,134.5118,78.3,50.0247,116.6992,64.5,39.6868,98.9276,68.1,42.4267,103.45,174.6,112.2918,258.6888,130.5,77.9033,204.7322,130.2,77.8669,204.0601,118,68.2589,189.6213,103.3,58.5785,168.432,93.5,52.0046,154.6957,89.4,49.9227,147.6195,78.8,41.8566,134.9039,61.1,29.1564,112.5964,42.6,17.0515,87.907,28.3,8.9416,66.5311,41.3,16.2434,85.7347
MSOA,E02002356,43.5,23.5891,73.2738,53.1,30.7533,85.2765,46.7,25.977,77.2614,57.7,34.5478,90.3758,52.6,30.437,84.512,49.5,28.0941,80.6753,37.8,13.5925,82.794,51.8,22.0505,102.6012,45.6,18.1961,94.1973,56.4,25.5146,107.5201,51.7,22.0955,102.2536,51.6,21.9936,102.1568,49.3,21.0737,97.5002,54.5,24.7065,103.8128,47.8,20.4347,94.5299,58.8,27.9457,108.5402,53.3,24.1199,101.5976,47.2,20.1201,93.4426
MSOA,E02002357,124.1,86.0276,173.1243,119.9,82.4977,168.2417,112.9,76.7128,160.0465,127.7,89.026,177.3212,115.5,79.0322,162.8182,92.1,60.3334,134.4824,153.8,94.8654,235.5703,129.2,75.9888,205.0228,124.1,71.7316,199.5042,157.8,98.2621,239.779,153.7,94.4388,235.9235,120,69.3131,192.9831,97.3,52.2884,164.6082,111,62.4534,181.7027,101.3,55.7952,168.4087,98.8,53.5088,166.5263,79.1,40.3791,138.9336,66.4,31.3903,122.8391
MSOA,E02002358,90.7,61.0948,129.6115,91.7,62.2163,130.2779,87,58.5801,124.3536,74.9,48.8465,109.8541,79.9,52.9966,115.6056,84.7,57.076,121.0074,111,65.4636,175.8867,121.5,73.8087,188.2158,119.8,72.7789,185.5782,106.9,63.0314,169.4102,117,71.1833,181.0933,123.9,76.3708,189.8455,72,37.1426,125.8636,63.8,31.8235,114.1956,55.4,26.5019,101.9867,43.7,18.836,86.1586,43.3,18.6568,85.3816,48.5,22.137,92.1347
MSOA,E02002359,67.4,42.1635,102.1487,54.2,32.0541,85.7566,56.6,34.0123,88.479,62.4,38.5809,95.4484,73.3,47.2937,108.3971,70.4,44.8407,105.1107,118.8,71.4335,185.6506,106.1,61.7133,170.0115,111.7,66.1028,176.6733,125.3,76.4457,193.6427,141.1,89.303,211.9139,136.2,84.875,206.8704,18.6,3.7863,54.477,5.4,0.0397,30.5418,5.3,0.1052,29.6658,5.1,0.0347,28.8582,13.3,1.198,49.2709,12.6,1.2839,46.235
MSOA,E02002360,112.4,72.5723,165.8339,111.6,72.1784,164.4891,88.8,53.5175,138.157,71.1,40.2682,116.0032,83.8,50.0656,131.411,75.8,44.4286,120.5025,155.1,88.8287,250.5228,156,89.5263,251.7142,140.9,77.2694,234.7398,117,59.7005,205.5423,135.4,73.1829,228.4366,119.1,62.0974,205.6668,73,32.651,139.7837,71.1,31.9839,135.8431,41.9,13.2435,98.4942,30.9,8.2475,79.4845,39,12.5046,91.3263,38.5,12.3099,90.2232
MSOA,E02002361,99.2,60.3717,153.0732,94.3,56.4119,147.3021,76.1,43.3737,123.2219,67.2,36.3817,112.6495,67.8,35.9106,115.486,56.3,27.3127,101.9845,135.5,74.1769,225.9369,146,81.6011,239.79,136.6,73.9544,228.9872,133.4,69.0826,229.5773,138.3,69.9524,242.0958,113.8,51.8096,213.7348,59.5,21.1909,130.7046,39.9,10.0791,103.8592,16.8,1.4249,62.4993,6.5,0.1191,36.4289,6.8,0.1532,37.976,6.8,0.0878,38.283
MSOA,E02002362,152.5,109.0295,207.3976,143.9,101.8136,197.3682,123.1,84.1369,173.656,124.3,84.4842,176.1741,124.3,84.9989,175.2945,94.1,60.3604,139.6338,223.9,148.6105,323.3258,220.4,145.7058,319.0396,179.5,112.9176,269.922,172.4,106.1745,263.5872,168.6,105.376,255.0362,123.1,70.3702,199.0246,80.8,41.1992,141.9933,69.5,32.685,128.8495,66.8,30.0392,127.6448,77.4,36.7538,142.9257,77.5,36.7587,143.1791,63.9,27.3495,126.3149
