AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002351,865.7337,654.6562,1122.0527,873.2327,663.3875,1127.2311,879.527,669.6299,1133.5882,936.8389,700.3843,1226.5345,846.8175,637.6199,1101.7213,841.1068,635.2936,1091.4541,852.3834,648.1069,1100.0372,836.774,631.089,1087.3978,833.6041,629.1625,1082.7128,935.7169,715.6685,1201.2453,946.3247,725.7161,1212.1336,986.7478,762.1113,1256.2598,984.8159,759.9824,1254.5644,1003.5101,775.5288,1276.6645,1072.243,836.1891,1353.2781,1092.0389,852.2142,1377.5633,1080.9926,843.9624,1363.19,1104.9749,866.7517,1387.6
MSOA,E02002352,1360.0753,1103.5777,1656.4582,1367.4492,1111.2339,1663.304,1366.0208,1109.8478,1661.8268,1428.1906,1166.0362,1729.915,1379.2785,1122.7171,1675.3339,1384.6123,1129.5696,1678.3384,1429.2705,1169.3331,1728.0704,1447.7077,1184.0202,1751.0061,1502.8037,1234.309,1810.882,1532.7956,1261.9784,1843.1759,1524.5219,1252.4457,1837.0843,1471.867,1204.8444,1779.39,1527.1845,1257.3697,1836.7776,1588.7317,1314.3771,1902.4593,1560.0718,1288.1547,1871.5341,1558.1381,1283.7954,1872.9265,1587.2566,1313.6243,1900.331,1586.4808,1312.3291,1900.1495
MSOA,E02002353,1495.4909,1131.6198,1935.9234,1569.5079,1195.093,2020.6364,1522.6203,1155.4216,1966.3876,1546.4369,1178.3237,1989.9725,1703.5748,1305.3825,2181.3138,1718.669,1317.81,2199.6074,1735.3496,1333.1078,2217.2932,1681.0092,1287.1552,2153.5432,1646.8503,1257.9662,2114.0692,1657.8977,1266.0295,2128.7017,1679.0162,1291.7342,2142.4208,1654.1405,1269.9171,2113.8853,1808.9579,1405.4974,2287.6184,1791.6586,1383.1396,2276.8759,1788.9194,1386.927,2266.3847,1673.2889,1290.2064,2130.4932,1668.953,1285.7604,2126.2887,1676.3103,1296.0804,2129.5463
MSOA,E02002354,1671.6803,1385.4817,1998.5969,1715.9163,1426.333,2046.0078,1730.7963,1441.0518,2060.7382,1799.4837,1500.9856,2138.8937,1844.7748,1539.0203,2192.269,1785.6951,1488.1424,2124.1942,1742.307,1448.1373,2077.6265,1618.2342,1334.3467,1943.5942,1635.4784,1351.2329,1960.6959,1669.8939,1382.2712,1998.6143,1669.8758,1383.9099,1996.3528,1619.8306,1335.6128,1945.3825,1600.19,1317.362,1924.5239,1612.1855,1327.9317,1938.1545,1660.7965,1371.3348,1992.1673,1571.6571,1284.1257,1903.23,1701.1155,1411.0115,2031.9705,1689.2554,1401.5501,2017.3748
MSOA,E02002356,1573.9226,1298.7019,1889.7185,1530.6187,1259.7341,1842.0025,1431.1002,1119.3143,1801.856,1475.6288,1207.4615,1785.0767,1422.67,1159.0593,1727.9139,1361.4795,1104.4331,1660.0032,1399.2336,1138.3612,1701.525,1423.2591,1158.0761,1730.5456,1460.7481,1189.6202,1774.6964,1434.5943,1164.6617,1747.8469,1409.9245,1144.0398,1718.7127,1467.4088,1197.0847,1780.2037,1530.5637,1256.0393,1846.9304,1554.1932,1277.0946,1873.1175,1583.2322,1303.9453,1904.2744,1582.3731,1304.7249,1901.3366,1499.3853,1230.3168,1809.4645,1437.276,1174.7714,1740.5999
MSOA,E02002357,2569.1644,2189.9202,2994.3272,2652.0891,2268.533,3080.9575,1626.0859,1132.4209,2259.4893,2724.5694,2337.1386,3157.0978,2761.4397,2374.5063,3192.7696,2510.7155,2142.8914,2922.7975,2489.1797,2125.1248,2896.9034,2441.8073,2080.3492,2847.3087,2490.2289,2122.4979,2902.6253,2520.1408,2149.3133,2935.7271,2554.0474,2182.6594,2969.8466,2461.8064,2099.6807,2867.7781,2487.7413,2123.0184,2896.4861,2423.2235,2065.4256,2824.6187,2397.0014,2041.7937,2795.6294,2473.0388,2112.775,2876.3836,2492.0332,2130.7093,2896.3015,2458.9199,2102.6088,2857.7088
MSOA,E02002358,2635.7193,2279.0207,3032.1237,2681.9442,2322.8384,3080.6025,2662.3418,2304.7675,3059.4036,2600.4774,2242.0291,2999.4822,2638.5671,2284.2818,3031.9767,2591.5722,2241.845,2980.1254,2591.3505,2242.4298,2978.9049,2583.4698,2234.9112,2970.622,2644.9195,2291.307,3037.2769,2803.1318,2438.7361,3206.1706,2770.9463,2411.0345,3169.213,2746.8908,2388.6541,3143.4929,2819.5389,2456.3832,3221.02,2735.03,2378.5709,3129.5697,2772.8309,2414.1362,3169.5641,2681.0403,2326.4858,3074.0459,2848.9922,2475.9183,3262.1199,2901.4019,2527.2598,3315.0289
MSOA,E02002359,1360.4754,1100.6193,1662.9683,1414.397,1147.5922,1724.2537,1395.4325,1132.0871,1701.2716,1320.7635,1029.4046,1668.4968,1322.6026,1067.8699,1619.3699,1352.9999,1097.7947,1649.3854,1353.1007,1097.2442,1650.2425,1318.298,1067.1776,1610.3907,1331.7025,1078.5296,1625.7277,1324.3696,1070.6013,1619.0862,1308.8938,1061.6265,1596.0605,1220.1324,966.9385,1518.0031,1342.705,1088.0155,1638.2681,1276.2922,1033.4787,1558.7227,1310.7214,1063.5138,1597.8187,1311.3595,1064.2979,1598.0706,1341.92,1092.3239,1630.9359,1435.5408,1179.7493,1729.9419
MSOA,E02002360,2374.3229,1959.7781,2849.4277,2318.998,1911.9877,2786.013,2176.0465,1784.2829,2627.2305,2198.6264,1807.008,2649.0734,2223.582,1828.951,2677.2131,2236.4727,1844.3999,2686.3479,2180.7361,1799.1498,2618.5788,2140.1502,1759.2588,2578.2589,2202.0373,1814.2253,2647.2887,2158.6623,1773.9186,2601.2019,2226.3533,1836.8248,2673.0464,2241.8759,1853.558,2686.6673,2257.618,1867.2011,2704.8137,2196.3437,1812.418,2636.8707,2193.9561,1809.827,2634.7165,2250.1167,1854.5177,2704.3085,2301.1568,1907.1995,2751.6515,2387.78,1987.8314,2843.6753
MSOA,E02002361,1696.1486,1343.2807,2110.8802,1625.6027,1281.5092,2031.2172,1585.0624,1244.5001,1987.3423,1691.0238,1336.9248,2107.6047,1746.7786,1382.4326,2175.0006,1717.6144,1356.7432,2142.1624,1768.872,1407.4701,2192.4464,1751.5834,1389.4597,2176.7896,1774.2665,1413.4183,2197.1919,1817.5751,1453.2777,2243.4093,1883.5259,1508.0563,2322.0436,1899.1722,1516.3736,2346.6329,1988.1064,1593.5117,2447.8148,1932.0306,1546.3648,2381.7038,1865.8252,1486.3741,2309.7596,1898.4147,1517.7061,2342.6763,1884.7368,1501.6318,2332.172,1855.277,1479.7555,2293.4856
