AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002350,15400.9022,14248.2379,16619.987,15336.846,14180.8196,16559.7834,15437.6098,12631.7475,18671.1339,15795.3511,12944.9831,19073.8993,15794.8095,14630.6623,17024.8816,15968.9149,14798.883,17204.6452,16333.8196,15151.538,17581.3093,16457.7801,15275.6985,17704.7956,16146.8231,14983.9099,17374.1822,16014.5837,14863.0486,17229.4173,15842.5879,14693.2461,17055.5366,15906.2575,14757.6865,17118.0917,16166.4865,15001.1178,17396.1305,16338.7085,15173.7954,17567.0192,16454.2714,15282.9354,17688.8563,16505.7382,15338.2979,17735.9325,16731.8635,15541.1492,17986.9566,16619.9773,15436.9626,17866.8714
MSOA,E02002351,17057.553,15821.5654,18361.8497,16902.1474,15680.6627,18190.9568,16875.5905,15662.3832,18155.4415,17190.3224,15838.6307,18623.398,17404.7159,16151.2968,18726.6208,17428.5636,16184.6353,18739.9236,17228.2161,15991.9695,18531.8759,17290.1868,16056.1375,18591.2639,17649.0662,16408.3049,18956.3092,17622.0898,16380.614,18930.2563,17490.6071,16238.6974,18810.8294,17577.8184,16339.781,18882.3619,17844.1015,16599.0881,19155.444,18158.9825,16900.2661,19484.2965,17947.7174,16704.9385,19256.1688,18047.8396,16796.1597,19365.994,18159.4691,16910.9605,19473.6676,18381.0388,17127.243,19700.2403
MSOA,E02002352,18884.7452,17736.661,20086.9757,18745.8332,17608.398,19936.8061,18940.252,17798.0938,20135.8276,18804.1539,17669.8901,19991.5178,19044.1389,17894.3576,20247.8525,19269.5603,18126.6537,20465.0523,19005.2042,17878.5773,20183.692,18846.4901,17725.9427,20018.692,18638.8065,17529.0459,19799.7975,18625.3224,17522.1171,19779.2385,18586.8503,17485.1964,19739.2156,18703.9341,17600.6474,19857.6738,18876.7638,17770.5525,20033.2571,18578.2306,17487.0268,19719.1955,18470.074,17385.2367,19604.405,18723.2027,17620.4758,19876.4042,18604.2271,17520.3353,19737.2052,18646.8867,17562.5818,19780.1397
MSOA,E02002353,18567.4392,17247.9489,19957.6296,17842.6424,16551.1464,19204.5645,18027.7194,16736.5481,19388.6103,17803.6375,16522.2544,19154.711,17806.1693,16500.671,19183.7693,17923.0611,16622.1677,19295.1762,18029.1144,16724.5039,19404.7253,17867.7752,16569.5082,19236.6508,17913.0537,16621.2394,19274.6223,17880.6537,16597.2362,19233.1929,17757.0683,16482.2671,19100.7051,17710.4218,16442.5783,19046.5482,17478.1707,16223.2472,18801.0332,17364.7963,16119.4943,18677.4724,17560.9998,16312.6655,18876.523,17756.2418,16498.4497,19081.5578,17764.0802,16510.2013,19084.9726,17883.9734,16628.0504,19206.7222
MSOA,E02002354,21703.7383,20495.4892,22964.0061,21503.3522,20306.4921,22751.7193,21823.6375,20621.4745,23077.0075,21822.6393,20621.2017,23075.1907,21950.4555,20727.6523,23225.904,21756.7453,20563.7338,23000.3075,21668.5391,20481.4783,22905.8783,21809.3542,20623.403,23045.1378,21557.5085,20380.8083,22783.8492,21563.6989,20389.3737,22787.4267,21409.1646,20243.2724,22624.0658,21711.0463,20539.2544,22931.5392,21505.1663,20338.7447,22720.2924,21483.8972,20321.5624,22694.6714,21585.1712,20421.367,22797.2883,21288.6496,20100.6023,22527.8883,22009.0337,20839.6935,23226.1835,22098.3527,20930.2139,23314.021
MSOA,E02002356,16556.1087,15489.5358,17676.1582,16453.0302,15396.7745,17562.1268,16561.7486,15340.0533,17854.1559,16576.4378,15352.2531,17871.4785,16932.7706,15854.8011,18064.0749,17017.4771,15936.193,18152.1726,16903.6572,15826.2473,18034.4034,16840.4593,15770.4871,17963.3129,16525.103,15465.7506,17637.3627,16655.4218,15592.9298,17770.7724,16444.2161,15392.5814,17548.3435,16779.7691,15720.1373,17891.6008,16957.7298,15895.4927,18071.8751,17172.2156,16101.9753,18294.4239,17264.702,16192.7606,18388.5033,17210.4889,16146.4693,18325.7447,17470.7161,16412.194,18579.1358,17346.7015,16293.2632,18449.8966
MSOA,E02002357,21898.6511,20606.3066,23249.711,21667.1499,20384.1152,23008.7207,19044.4816,16955.6299,21310.769,18860.4573,16793.7614,21102.4302,21889.2332,20610.5426,23225.4898,21860.7964,20576.7994,23202.8887,21580.7088,20312.7995,22906.0381,21828.4924,20563.2882,23150.3227,21840.5865,20577.3297,23160.2811,21821.4087,20561.7644,23137.2292,21745.3245,20492.4106,23054.1145,22020.8946,20762.1347,23335.2982,22134.5116,20870.4111,23454.3701,22136.2804,20871.7941,23456.4931,22186.937,20924.9506,23504.2519,22293.3624,21030.7049,23611.0473,22238.4791,20977.2512,23554.8129,22555.3544,21287.8842,23877.6438
MSOA,E02002358,27799.9398,26416.1501,29237.0122,27666.766,26293.0696,29093.2511,27733.0167,26354.2935,29164.7393,27885.1805,26488.4327,29335.9622,27942.9369,26563.0352,29375.4488,27615.3942,26247.5394,29035.5023,27559.6437,26197.1381,28974.0962,27501.5866,26143.979,28910.9038,27394.7668,26042.2532,28798.8632,27405.1607,26054.683,28806.9762,27523.7787,26040.949,29068.2364,27332.885,25985.1119,28731.9597,27358.3745,26015.4698,28752.1315,27418.1297,26073.0119,28814.1181,27532.3381,26189.1761,28926.0216,27751.2913,26388.8491,29165.2924,28089.0291,26683.182,29549.0623,27633.7301,26249.4409,29071.4636
MSOA,E02002359,18759.293,17530.7736,20049.4088,18842.7641,17608.8716,20138.4186,18775.4702,17541.1996,20071.6602,19239.1142,17820.89,20737.4802,19314.9419,18067.0007,20624.3263,19214.2537,17973.8454,20515.6683,18935.3748,17710.1453,20221.0603,18942.0122,17722.9969,20220.9494,18612.2292,17412.8512,19870.6594,18819.1206,17609.5617,20087.9133,19048.7589,17826.5646,20330.5512,18988.5843,17780.4512,20255.2273,18864.0612,17662.8079,20123.5522,19021.3825,17821.143,20279.4176,18958.3985,17761.6159,20212.8102,19292.0776,18087.5398,20553.9682,19533.4249,18318.5893,20805.8707,19339.7117,18137.2175,20599.2595
MSOA,E02002360,21353.9227,19990.6043,22783.475,21485.7064,20132.1452,22904.0117,21528.5586,20180.9065,22940.3453,21154.1187,19817.6397,22555.0539,20841.0509,19510.3351,22236.5877,20783.7536,19465.9096,22165.3874,20613.9403,19306.4862,21984.6481,20447.0018,19142.9087,21814.4515,20537.9671,19236.2618,21902.648,20509.4669,19211.0532,21870.7628,20906.9947,19598.7345,22277.8003,20755.4173,19453.6385,22119.6552,20675.9501,19379.3888,22034.6244,20518.4127,19230.3564,21868.2379,20757.0857,19466.2558,22109.1912,20997.1693,19680.6071,22376.6737,20979.2614,19691.1906,22327.6622,21076.6596,19792.3154,22420.7218
