AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002397,23.8,9.4769,49.2001,33.7,16.045,62.1616,33.5,15.9447,61.801,36.2,17.926,65.0001,42.9,22.7747,73.4631,46.2,25.18,77.6323,36.7,11.7612,85.952,42.4,15.3953,92.5931,41.6,15.0602,90.9291,31.8,10.2,74.4582,44.7,17.8889,92.246,45.1,17.9874,93.1807,12.2,1.354,44.4375,25.4,6.7813,65.3329,25.1,6.7069,64.5492,38.4,13.9934,83.7641,39.1,14.2885,85.2168,45.8,18.3518,94.4758
MSOA,E02002398,12.6,4.0869,29.4126,9.7,2.6343,24.8544,11.8,3.7791,27.6405,7,1.3869,20.5943,7.2,1.4714,21.074,7.4,1.458,21.7907,10.5,1.2513,37.99,4.8,0.0816,26.9312,4.7,0.0228,26.6379,0,0,0,0,0,0,0,0,0,15.1,3.0741,44.2253,14.6,3.0005,42.6925,18.8,5.1101,48.1617,13.5,2.7222,39.6024,13.4,2.719,39.268,13.6,2.7777,39.8104
MSOA,E02002399,10.5,1.197,38.1513,41,17.4864,81.1525,61.8,31.6635,108.3686,61.5,31.4999,107.8578,62,31.7665,108.7185,66.7,35.0276,114.7991,11.7,0.2613,65.3521,38.3,9.8077,99.4097,58.2,20.7124,127.8775,57.5,20.5823,126.1182,59.8,21.152,131.6344,83.8,34.3606,168.2243,9.6,0.2046,53.6683,40,10.8796,102.4568,62.1,22.7604,135.2198,62.6,22.9254,136.3425,63.5,23.2783,138.2594,52.3,16.9619,122.0898
MSOA,E02002400,26.3,9.5737,57.3888,31.7,12.7098,65.3766,37.7,16.2175,74.3842,45.5,21.2107,84.6568,63.7,33.2294,109.974,82.9,47.6535,133.6508,52.8,19.1224,115.396,54.3,19.6657,118.6741,66.4,26.3074,137.4989,71.5,29.0588,143.974,99,45.4693,185.2968,86.1,37.4033,166.7004,0,0,0,8.6,0.1663,48.1574,9.2,0.2295,51.2752,19.7,2.3109,71.3855,30.6,6.3099,89.4276,82.9,35.7524,163.4107
MSOA,E02002401,81.2,47.0274,130.4044,83,48.2634,133.0165,90.1,53.2564,142.6,74.9,41.7048,123.855,70,38.0425,117.7878,45.8,20.7212,87.3093,116.7,59.5476,205.015,120.4,61.674,211.1466,145.4,78.8265,244.951,123.5,62.9009,217.141,103.8,48.7295,192.5792,66.9,23.7136,147.1698,48.5,15.7021,113.2731,47.8,15.4777,111.6338,38.5,10.402,98.764,29.9,6.1206,87.4906,39.4,10.6652,101.0297,28.8,5.836,84.4158
MSOA,E02002402,29.4,11.7632,60.6766,29.1,11.6445,60.055,20.5,6.5909,47.9693,11.9,2.4382,34.8152,7.9,0.8663,28.8062,3.6,0.0767,20.1256,53.6,19.5575,116.8742,52.6,19.1965,114.6865,43.2,13.9047,101.0558,24.2,4.8377,71.093,16.6,1.8337,60.4901,7.1,0.1036,39.9157,8.5,0.1971,47.4441,8.6,0.1663,48.1574,0,0,0,0,0,0,0,0,0,0,0,0
MSOA,E02002403,29.3,12.5641,57.8788,25.8,10.316,53.2587,18.3,5.8501,42.8875,16.8,5.4065,39.3012,19,6.9514,41.3945,28.5,12.9864,54.1774,24.3,4.9457,71.1737,32.5,8.7801,83.374,24.3,4.9763,71.0994,29.6,7.9989,75.9295,27.9,7.5218,71.6067,55,23.6866,108.4718,33.8,10.8814,79.0622,20,4.0918,58.5275,12.9,1.5272,46.7035,5.9,0.1359,32.936,11.1,1.2811,40.2846,5.3,0.0543,29.9045
MSOA,E02002404,58.9,29.9493,103.6362,80.8,45.5054,132.2027,99.4,59.0385,156.3641,91.4,52.5492,147.3405,98.2,58.2209,154.6243,105.3,63.4482,163.8469,85.2,38.0073,163.311,95.9,44.9483,178.0392,97.9,45.8738,181.7715,71.1,27.9061,147.6987,63.9,24.8995,133.0622,76.2,31.8835,151.8763,30.2,5.4815,90.065,62.9,22.2793,138.401,100.2,44.7517,191.9755,113.7,53.3284,211.025,136,68.8884,239.7045,137.4,69.8216,241.8258
MSOA,E02002405,39,20.7011,66.7895,32.9,16.3268,59.0197,42.5,23.1532,71.4303,39.8,21.1401,68.1378,48.8,27.8118,79.367,52.8,30.679,84.6516,58.7,26.6557,111.7382,51.7,22.096,102.2529,71.8,35.6686,128.7437,59.4,27.0593,112.9288,72.1,35.8522,129.2272,59.7,27.1913,113.5069,21.8,5.8755,55.9544,16.3,3.2722,47.8516,17,3.4487,49.8196,23,6.2207,58.9879,28.7,9.2547,67.1029,46.9,20.207,92.4818
MSOA,E02002406,8.7,1.7245,25.5938,11.7,3.1031,30.1384,5.9,0.6358,21.5467,6,0.6528,21.8936,8.3,1.6489,24.4081,8,1.5554,23.6079,6.3,0.0728,35.508,13.1,1.4965,47.5892,6.9,0.1637,38.4961,12.8,1.5069,46.3666,17.5,3.4902,51.4301,16.9,3.3764,49.6525,10.9,1.2683,39.5285,10.6,1.2231,38.4709,5.1,0.0992,28.5557,0,0,0,0,0,0,0,0,0
MSOA,E02002407,48.8,22.1681,92.8799,54.3,25.9246,100.044,49.2,22.369,93.6094,56.6,27.0086,104.3042,75.8,41.1789,127.5708,64.2,32.6956,112.8824,58.4,18.3282,137.5384,67.7,24.1334,148.6764,56.9,17.7395,134.2386,70.1,24.9687,153.9848,95.2,42.6877,182.1159,81.9,34.13,163.4737,44.3,12.0646,113.4377,44.2,11.9859,113.2921,43.2,11.7038,110.7524,43.6,11.8334,111.7323,54.8,17.7249,128.0202,45.4,12.3496,116.2857
MSOA,E02002408,43.9,21.8709,78.6183,50.7,26.9813,86.7203,46.2,23.8718,80.7028,53.1,29.0086,89.1252,37.3,17.8512,68.6534,32.3,14.727,61.386,44.4,14.2845,103.8756,61.3,24.5333,126.5009,44.4,14.3801,103.6867,61.2,24.5411,126.2097,50.7,18.5595,110.439,40.5,13.064,94.6838,43.9,16.0703,95.6265,42.9,15.6754,93.5019,48.6,19.5135,100.181,47.5,19.0858,97.8889,26.8,7.2661,68.6959,25.7,6.974,65.863
MSOA,E02002409,28.2,11.2671,58.2283,28.4,11.3462,58.6426,32.9,14.1002,65.0032,25.8,9.3922,56.2969,24.3,8.7436,53.2145,17.3,4.5176,44.7155,48.5,17.7085,105.7317,49.2,17.9073,107.3633,58.3,23.2492,120.458,43.5,14.0285,101.7037,49.7,17.8685,108.8647,35.5,9.1881,91.9332,7.7,0.1145,43.2792,7.9,0.1047,44.4632,8.5,0.1842,47.5045,8.8,0.1623,49.3144,0,0,0,0,0,0
MSOA,E02002410,31.9,12.7669,65.83,30.1,11.9524,62.2825,26.3,9.54,57.4516,25.8,9.3255,56.4208,44.4,21.9666,79.7554,30.3,12.939,59.9462,30.1,6.1155,88.1874,35.1,9.3607,90.3051,35.5,9.3959,91.4874,34.4,9.056,88.7572,58.2,22.8472,120.8936,48.3,17.0786,106.3307,33.7,9.1375,86.3811,24.3,4.9585,71.1427,17.2,2.038,62.2661,17.2,2.0618,62.1954,31.5,8.508,80.8126,14.2,1.7098,51.3247
MSOA,E02002411,88,49.5904,143.9394,95,54.0509,154.6379,67,33.2503,120.1903,68.4,33.9484,122.6964,64.9,30.9891,119.5678,59,26.7825,112.3249,93.4,41.9234,178.6017,121.9,59.9211,219.5799,92.3,39.2522,182.8861,73.3,26.4482,160.3827,76,27.2979,166.5218,62,19.415,146.1017,80.3,30.6502,168.3473,64.6,20.8107,151.0803,39.3,7.986,115.1385,65.7,21.1891,153.6052,56.4,15.2634,144.6288,55.7,15.1372,142.6982
