AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002403,123.9,85.5979,173.4047,123.8,86.0293,172.4359,127.9,89.812,176.6019,134.8,95.5632,184.648,128.9,90.9143,177.3115,118.3,82.0574,164.9682,160,98.6646,245.1013,170,107.3615,255.6356,187,121.7713,274.5126,187.8,122.3204,275.6491,177.3,114.4151,262.1672,163.9,103.4583,246.5323,91,48.2085,155.985,81.9,42.0802,143.4317,75.1,37.1187,134.9592,87.3,45.9518,150.0932,86.7,45.6216,149.0835,78.7,40.1491,138.271
MSOA,E02002404,211.7,151.6509,287.3203,248.1,181.3323,331.1169,296.3,221.0107,388.7195,270.1,199.2274,357.6321,259.4,190.3491,344.8671,254.7,186.9046,338.4315,227.5,143.1715,342.789,272.9,178.5528,398.7763,368.9,255.4128,515.033,335.4,228.9515,473.5208,306.3,204.7116,439.8223,291.8,194.1273,420.1756,193.2,114.7335,303.9435,218.9,132.37,339.9476,212.9,125.1954,337.874,194.8,112.0432,313.9598,205.2,121.2895,323.6268,210.8,125.3565,330.3277
MSOA,E02002405,142.1,104.2714,189.1349,133.6,96.9556,179.5,143.7,105.4927,191.2058,143.6,105.4328,191.0559,142.7,104.7803,189.8482,155.2,115.4639,204.1736,147.1,92.9791,221.0909,134.9,83.2737,206.5303,119.6,71.7698,187.105,145.7,92.1455,218.9166,128.5,78.3911,198.5978,143.6,89.8648,217.5892,137.5,87.9589,204.7791,131.7,83.3805,197.7596,164.2,109.0375,237.4105,140.6,90.0165,209.2948,156.5,103.0436,227.8206,168.1,112.4581,241.5796
MSOA,E02002406,139.5,101.7437,186.5568,144.9,106.8578,191.9864,118.7,84.8591,161.4367,119.3,85.6764,161.6425,113.3,80.9962,154.0956,103.3,72.9153,142.0242,154,98.9171,228.3379,155.8,101.0826,229.2104,129.8,80.7804,197.2961,126.1,78.5551,191.5655,130,82.0447,195.5617,102.2,60.3607,161.8186,126.6,78.1673,193.7992,134.9,85.3221,202.68,108.6,65.0889,170.0092,112.8,68.4702,174.8134,98.2,57.5934,156.0621,104.3,63.4242,161.4815
MSOA,E02002407,165.6,111.9862,235.7507,198.4,139.0322,274.3119,212.9,151.2501,290.9844,233.5,168.7752,314.5729,235,170.8689,314.9286,244.3,179.4597,324.5554,209.3,124.2209,329.3761,236.4,145.8329,361.1038,240.3,148.9474,366.0854,229.7,140.4965,353.4677,216,130.2683,335.9309,229.6,142.321,349.7763,123.5,63.5331,216.1641,160.1,89.3724,264.4062,187,109.6823,297.1733,235.9,148.4642,355.437,255.3,165.1384,376.2632,261,170.0486,382.3457
MSOA,E02002408,178.5,131.2841,237.0716,174,127.9748,231.0946,165.6,121.3759,220.5868,161.1,118.0859,214.5823,157.5,115.0906,210.3561,140.7,101.1475,190.5088,214.7,139.6198,315.4296,240.4,161.4187,344.2087,224.8,149.5578,324.1633,185,118.7195,274.4497,196.8,128.8938,287.3991,193,126.4602,281.7761,150.6,94.0803,228.4231,119.5,70.5718,189.2199,117.6,69.5057,186.1317,141.8,88.6994,214.9153,123.1,74.015,192.376,94.8,52.8461,156.6719
MSOA,E02002409,183.3,133.977,244.7728,172.9,124.7966,233.3121,141.5,98.264,197.1733,187.7,137.1389,250.7158,181.3,131.9655,242.9384,192,141.2561,254.9482,216.6,142.333,315.6857,186.1,117.4517,279.952,155.8,93.3185,243.983,184.9,115.6354,280.2719,180.4,112.682,273.6424,201.6,129.8661,298.4094,151.3,90.8347,236.6375,161.3,98.1803,249.5987,129,73.4407,209.9159,191.2,122.0483,285.1112,181.4,114.609,272.7128,181.3,114.5845,272.5095
MSOA,E02002410,176.2,126.9094,238.1031,190.4,139.3039,253.9313,161.6,115.332,220.0305,168.7,121.9553,227.2514,209.6,157.6944,272.9584,175.2,129.1223,232.2322,158.2,93.7998,249.091,191.1,119.667,288.759,157.3,94.5501,245.0813,164.5,101.5895,251.1228,231,155.1997,330.1805,198.8,130.8343,289.0027,191.6,122.3162,285.6907,188.1,120.0676,280.4912,163.4,100.7087,250.3826,168.9,105.3973,256.3382,186.9,120.5783,276.4053,151.5,93.5049,231.9668
MSOA,E02002411,200.1,140.9828,275.2048,222.9,159.0263,303.3367,222.5,157.5977,304.7039,249.2,179.6367,336.3336,219,153.2654,302.7766,237,168.582,323.1593,215.2,132.8193,328.6318,233.6,145.4396,354.1277,220.1,134.0052,339.5545,263.3,166.2734,395.0666,236.6,143.511,365.7587,247.8,153.1458,377.2056,189.4,108.2899,306.1888,220.2,130.1971,347.2253,233.2,138.3673,367.0418,244,147.0909,379.567,209.8,120.0732,338.9959,231.5,137.3426,364.3888
MSOA,E02002412,170.2,122.8767,229.6323,158.9,113.6876,215.9974,143.2,100.436,197.8811,142.8,100.1685,197.3116,153.1,109.3997,208.2878,132.7,92.4172,184.3853,174.7,107.6736,267.6975,164.2,100.9553,251.9504,160.9,97.5974,249.4545,168.5,103.5476,258.6199,141.2,82.9716,224.1721,122.9,69.4498,200.7444,169.4,105.8843,256.8561,155.3,94.5745,240.2495,126.5,73.2303,203.2019,119.4,67.8221,194.5176,166.6,105.0173,250.7923,143.2,86.8095,222.0852
