AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002352,4097.3699,3653.189,4578.6988,4159.409,3713.1199,4642.6839,4204.0592,3755.1315,4689.9693,4157.4476,3708.7335,4643.5744,4127.1644,3678.2409,4614.0418,4134.3966,3687.9209,4618.1552,4151.3417,3707.9578,4631.4154,4100.0465,3660.6353,4575.8735,4055.0018,3619.1741,4527.0028,4069.5244,3634.2462,4540.8217,4045.8406,3610.3402,4517.8752,3952.66,3519.7354,4422.653,3918.0684,3488.8059,4384.2041,3829.1701,3404.62,4290.6689,3860.8029,3432.4895,4326.642,3839.9538,3406.2934,4312.4649,3837.8171,3409.0249,4304.626,3854.6778,3423.0137,4324.5477
MSOA,E02002353,3670.5343,3103.2571,4308.7655,3635.6584,3070.5497,4271.688,3622.4678,3061.0137,4254.1476,3541.6421,2989.3646,4163.2303,3654.8292,3068.3908,4316.9352,3569.6123,2987.6119,4228.081,3592.579,3019.5269,4239.0503,3630.0736,3050.5618,4283.5727,3456.6517,2890.706,4096.6835,3317.4813,2769.582,3937.9052,3347.1671,2801.4143,3964.3625,3264.6168,2727.676,3872.6316,3273.4014,2737.6538,3879.8013,3228.7915,2698.6141,3829.1477,3249.7268,2720.0703,3849.2322,3140.1661,2624.0215,3725.1489,3068.5716,2559.9204,3645.3208,3073.9958,2570.1645,3644.5185
MSOA,E02002354,4140.7692,3690.1157,4630.1334,4202.4101,3750.6344,4692.4408,4248.8058,3796.1375,4739.5072,4255.8821,3798.297,4752.2751,4286.2374,3819.5266,4792.9736,4246.7997,3786.4799,4746.4704,4272.4016,3812.4812,4771.4514,4258.3195,3799.0944,4756.6768,4327.1953,3862.4484,4831.2956,4264.7783,3803.1826,4765.8339,4257.0796,3798.2492,4754.8849,4293.08,3829.6641,4795.8604,4245.3248,3781.8659,4748.6588,4204.6204,3744.2664,4704.7113,4166.7665,3708.1456,4665.1697,4092.6223,3625.0027,4602.4318,4096.2553,3647.2704,4583.6221,4068.1211,3626.0094,4547.7876
MSOA,E02002356,3790.9401,3357.3964,4264.4606,3793.0051,3360.0523,4265.8064,3494.2367,3002.1997,4043.0528,3604.9399,3182.2382,4067.6711,3312.7678,2832.0303,3850.9928,3510.0914,3092.8826,3967.5226,3490.6124,3075.2274,3946.044,3426.5614,3013.282,3880.2605,3371.106,2957.5949,3825.8381,3260.4212,2852.4582,3709.959,3239.0674,2832.7836,3686.9427,3381.3865,2970.2158,3833.2819,3355.1573,2947.0744,3803.6591,3455.7305,3041.0365,3910.8149,3414.9873,3002.3325,3868.1696,3348.2566,2941.9788,3794.6891,3330.9963,2928.7088,3772.7931,3309.7295,2908.456,3750.5791
MSOA,E02002357,4160.3768,3676.746,4688.9373,4174.2279,3690.974,4702.1252,4143.8141,3321.13,5106.3038,4087.537,3610.7027,4609.0923,4096.3844,3271.1749,5064.4431,4110.8469,3634.8296,4631.1701,3904.7376,3446.1092,4406.629,3916.7384,3459.3607,4417.1777,3861.8508,3405.2513,4362.0316,3841.9283,3387.4803,4339.6664,3805.008,3356.2603,4296.5029,3840.573,3391.0077,4332.5463,3805.4676,3357.4931,4295.948,3725.8372,3284.8072,4209.0462,3713.61,3271.934,4197.696,3642.6087,3207.8225,4119.1434,3676.0724,3238.1285,4155.9002,3641.4526,3206.3098,4118.4622
MSOA,E02002358,4838.4831,4344.0441,5373.4134,4879.3996,4384.8081,5414.2003,4794.8642,4302.7118,5327.4997,4862.9928,4359.6488,5407.9259,4119.2267,3661.5126,4617.8034,4711.2468,4223.6679,5239.1726,4720.056,4237.1292,5242.5314,4688.4517,4206.7174,5209.7535,4555.0704,4079.2597,5070.6136,4529.1932,4055.8841,5042.0259,4548.6457,4057.6273,5080.9833,4489.8765,4006.5495,5014.1302,4416.6476,3945.6366,4927.5423,4351.3682,3885.7688,4856.5801,4319.8069,3859.3941,4819.4532,3973.6133,3531.628,4454.9885,4159.4683,3697.0072,4663.1441,4210.8172,3748.9154,4713.3239
MSOA,E02002359,3852.3581,3406.6589,4339.8583,3760.4565,3320.5123,4242.1446,3739.6099,3302.3345,4218.3759,3665.5941,3167.6767,4218.9369,3660.5932,3230.0447,4132.2366,3651.0988,3222.1563,4120.8213,3667.9681,3238.0109,4138.6418,3584.6948,3161.916,4047.9071,3639.8005,3210.8602,4109.361,3603.1792,3176.7814,4070.0356,3572.6444,3154.5259,4030.3583,3384.0098,2957.9062,3853.5369,3486.1382,3073.4568,3938.3662,3432.768,3019.4778,3885.9836,3439.5268,3024.9777,3894.123,3311.9196,2911.2728,3751.5886,3281.6318,2884.898,3717.0867,3263.7868,2868.6758,3697.5406
MSOA,E02002360,4386.3086,3814.2913,5018.8396,4309.4263,3749.1731,4928.9486,4265.7453,3710.1862,4880.2199,4253.2828,3703.21,4861.2677,4237.4317,3685.0187,4848.4265,4235.2401,3686.5357,4841.5743,4128.2266,3593.0118,4719.7893,4102.6879,3567.2497,4694.77,4099.4651,3564.235,4691.3171,4108.2502,3575.8496,4696.5682,4066.8268,3537.5592,4651.8161,4015.4803,3493.8192,4592.0623,3948.6603,3430.033,4522.5563,3889.6939,3377.0206,4457.4088,3850.8844,3339.1008,4418.0297,3745.9781,3231.7049,4317.9623,3690.7771,3187.5102,4249.9156,3641.4296,3144.8274,4193.1635
MSOA,E02002361,4188.5924,3618.4035,4820.3054,4208.8152,3635.0181,4844.5257,4201.9321,3628.4011,4837.1925,4113.3321,3547.6061,4740.7249,3927.1723,3306.2689,4627.0723,3987.8194,3360.9183,4693.9329,4017.1006,3464.4786,4629.6538,3972.2419,3424.836,4579.3176,3833.1066,3295.1932,4431.0584,3750.8129,3218.6779,4342.6634,3727.9237,3195.8681,4320.5137,3694.4679,3161.2109,4288.9104,3677.502,3141.0254,4276.0642,3644.9424,3113.1639,4238.086,3742.4771,3204.1705,4342.0293,3595.1429,3067.8557,4183.9871,3599.8125,3067.9174,4194.1702,3675.4801,3140.5628,4272.1246
MSOA,E02002362,5328.2355,4773.2223,5928.8349,5325.1216,4767.834,5928.5246,5207.8101,4657.7191,5803.9774,5071.7711,4529.793,5659.86,5261.0586,4670.7992,5904.1056,5244.8107,4662.9134,5878.2991,4814.413,4279.4819,5396.8527,4777.1825,4241.8064,5360.5218,4910.7261,4365.8384,5503.595,4833.4174,4293.1855,5421.5462,4707.3715,4173.5561,5289.2637,4657.3943,4121.3466,5242.241,4681.4804,4140.9017,5271.2707,4651.913,4114.1327,5238.8282,4614.8753,4081.0004,5197.6173,4507.9422,3979.2049,5085.7075,4389.4573,3861.999,4966.9632,4413.3533,3887.1497,4989.1943
