"","Date","noTs","noRTs"
"227",2017-06-17 00:46:31,53,46
"228",2017-06-17 01:46:33,13,4
"229",2017-06-17 02:46:34,10,7
"230",2017-06-17 03:46:35,5,2
"231",2017-06-17 04:46:36,16,10
"232",2017-06-17 05:46:37,7,3
"233",2017-06-17 06:46:39,8,4
"234",2017-06-17 07:46:40,10,7
"235",2017-06-17 08:46:41,8,3
"236",2017-06-17 09:46:42,13,7
"237",2017-06-17 10:46:43,16,5
"238",2017-06-17 11:46:44,23,13
"239",2017-06-17 12:46:46,34,26
"240",2017-06-17 13:47:06,18,10
"241",2017-06-17 14:47:07,15,6
"242",2017-06-17 15:47:09,24,14
"243",2017-06-17 16:47:32,26,19
"244",2017-06-17 17:47:33,24,11
"245",2017-06-17 18:47:35,10,6
"246",2017-06-17 19:47:36,19,9
"247",2017-06-17 20:47:37,9,3
"248",2017-06-17 21:47:38,30,17
"249",2017-06-17 22:47:39,20,8
"250",2017-06-17 23:47:41,12,4
"251",2017-06-18 00:47:42,14,6
"252",2017-06-18 01:47:43,7,3
"253",2017-06-18 02:47:44,17,9
"254",2017-06-18 03:47:46,17,11
"255",2017-06-18 04:47:47,11,3
"256",2017-06-18 05:47:48,4,1
"257",2017-06-18 06:47:48,12,4
"258",2017-06-18 07:47:49,3,1
"259",2017-06-18 08:47:50,11,5
"260",2017-06-18 09:47:51,6,2
"261",2017-06-18 10:47:53,15,4
"262",2017-06-18 11:47:54,11,4
"263",2017-06-18 12:47:55,11,5
"264",2017-06-18 13:47:56,14,7
"265",2017-06-18 14:48:16,11,3
"266",2017-06-18 15:48:37,15,2
"267",2017-06-18 16:48:38,30,13
"268",2017-06-18 17:48:39,58,46
"269",2017-06-18 18:48:41,32,18
"270",2017-06-18 19:48:42,8,3
"271",2017-06-18 20:49:03,5,1
"272",2017-06-18 21:49:04,58,46
"273",2017-06-18 22:49:05,59,41
"274",2017-06-18 23:49:07,50,35
"275",2017-06-19 00:49:27,45,35
"276",2017-06-19 01:49:28,32,22
"277",2017-06-19 02:49:29,107,64
"278",2017-06-19 03:49:31,171,130
"279",2017-06-19 04:49:33,86,59
"280",2017-06-19 05:49:53,41,28
"281",2017-06-19 06:49:54,35,25
"282",2017-06-19 07:49:55,42,20
"283",2017-06-19 08:49:57,61,41
"284",2017-06-19 09:49:58,68,46
"285",2017-06-19 10:49:59,47,35
"286",2017-06-19 11:50:00,55,26
"287",2017-06-19 12:50:01,62,37
"288",2017-06-19 13:50:03,48,28
"289",2017-06-19 14:50:04,150,125
"290",2017-06-19 15:50:06,114,92
"291",2017-06-19 16:50:07,71,56
"292",2017-06-19 17:50:08,79,52
"293",2017-06-19 18:50:09,70,47
"294",2017-06-19 18:51:59,4,3
"TRUE",2017-06-21 16:13:33,1252,784
