ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Street,Ward,ONS Ref,Lat ,Long,Type ,Colour
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Lands Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.798136,-1.543453,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Merrion Way,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.802545,-1.543568,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,New Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799313,-1.541992,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,New Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799762,-1.541721,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,New Briggate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799922,-1.541333,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,New Station Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.795276,-1.546745,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,North Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.801807,-1.537882,Toast rack car design,White
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Park Place,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79793,-1.553941,Toast rack car design,Yellow
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Park Row,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79737,-1.545337,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Park Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799829,-1.552617,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Portland Crescent,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.802945,-1.547291,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Portland Crescent,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.802195,-1.548059,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Portland Way,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.80327,-1.548038,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Portland Way,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.80294,-1.548445,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Princes Square,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79515,-1.54878,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Rossington Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799798,-1.550865,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Russell Street ,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.798056,-1.547651,Toast rack car design,Green
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Saint Pauls Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79784,-1.549763,Toast rack car design,White
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Saint Pauls Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79852,-1.554107,Toast rack car design,White with Red Spots
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,South Parade,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79909,-1.547271,Toast rack car design,Green
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,St Peters Square,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797274,-1.533147,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,The Calls,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79483,-1.538011,Toast rack car design,Green
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,The Headrow,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799589,-1.545756,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,The Headrow,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799403,-1.545398,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,The Headrow,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.801153,-1.540755,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,The Headrow,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799179,-1.543188,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,The Headrow,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799282,-1.543792,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Vicar Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.80015,-1.539675,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Vicar Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799428,-1.539566,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Vicar Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.798136,-1.543453,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Wade Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.800822,-1.543386,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,West Yorkshire Playhouse,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.798731,-1.536566,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,West Yorkshire Playhouse ,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79848,-1.534524,Toast rack car design,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Westgate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799798,-1.550865,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Woodhouse Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.804473,-1.548484,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Woodhouse Lane,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.801452,-1.545045,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,York Place,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79682,-1.550518,Toast rack car design,Yellow
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,York Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79658,-1.535752,Toast rack car design,silver
