"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"301",301,15.8236236900653,46.5490141651854,15,1,14,14.1,80,2013,"Belgium","Serbia"
"302",302,16.591888098007,46.1994907046635,16,1,14,14.1,80,2013,"Belgium","Serbia"
"303",303,17.350370055968,45.8448863961435,17,1,14,14.1,80,2013,"Belgium","Serbia"
"304",304,18.0991771590654,45.4853277367445,18,1,14,14.1,80,2013,"Belgium","Serbia"
"305",305,18.838422804879,45.120938975434,19,1,14,14.1,80,2013,"Belgium","Serbia"
"306",306,19.568225612061,44.7518420696792,20,1,14,14.1,80,2013,"Belgium","Serbia"
"307",307,20.2887088671873,44.3781566511736,21,1,14,14.1,80,2013,"Belgium","Serbia"
"308",308,21,44,22,1,14,14.1,80,2013,"Belgium","Serbia"
"331",331,17.833333,44.25,1,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"332",332,17.9051257818677,44.1670993125429,2,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"333",333,17.9767169939431,44.0841537914043,3,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"334",334,18.0481076748537,44.0011636916322,4,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"335",335,18.1192988575872,43.9181292666111,5,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"336",336,18.1902915695223,43.8350507680743,6,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"337",337,18.2610868324589,43.7519284461174,7,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"338",338,18.3316856626484,43.6687625492096,8,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"339",339,18.4020890708242,43.585553324207,9,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"340",340,18.4722980622315,43.5023010163642,10,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"341",341,18.5423136366575,43.4190058693467,11,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"342",342,18.6121367884614,43.335668125243,12,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"343",343,18.6817685066045,43.2522880245764,13,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"344",344,18.7512097746797,43.1688658063172,14,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"345",345,18.8204615709418,43.0854017078941,15,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"346",346,18.8895248683365,43.0018959652059,16,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
"347",347,18.9584006345306,42.9183488126333,17,1,16,16.1,274,2013,"Bosnia and Herzegovina","Montenegro"
